ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL|PRI_PVEM|PRD_PT_MC|PRD_PT|PRD_MC|PT_MC
15|38|5271|425|167051|172322|18081|44875|40607|5649|3854|20091|5868|13223|10588|1886|1299|605
15|12|6769|182|204693|211462|33870|59349|54451|8525|4557|6750|7599|14737|11157|2302|885|329
15|8|3685|87|134909|138594|21809|41306|33603|4557|3135|3738|4938|11762|7474|1753|537|210
15|39|5024|110|165590|170614|14623|51262|48403|6366|3907|6549|6014|14855|10003|2462|778|258
17|4|11191|115|144432|155623|27925|44377|34897|10694|7459|5954|3740||6467|1841|642|321
9|15|9666|276|231659|241325|88085|38906|55438|6143|10245|5293|4901|8071|10863|2397|591|450
28|4|11774|72|149147|160921|58284|49813|14299|7597|2655|1889|9842||3665|724|161|146
4|0|36084|123|342654|378738|110393|138867|37242|6675|7105|11703|15937||10101|2631|901|976
31|0|66747|468|981756|1048503|426157|405488|69993|26757|11840|7697|20110||8796|3299|753|398
22|0|64125|399|787182|851307|309514|293925|79462|30712|16967|21367|20702||9855|2978|842|459
23|0|17865|438|516569|534434|104821|149339|125031|20483|14227|7322|15848|37947|28948|9788|1754|623
20|0|110755|1246|1480258|1591241|338642|440892|417156|50600|55630|55576|31008||62735|20167|4850|1984
1|1|11845|87|139525|151370|42179|46561|8319|7165|3880|1477|26991||1912|672|121|161
21|5|5376|68|138503|143879|35323|38865|17386|5193|6493|2369|8894|13980|7078|2171|331|352
26|4|11918|40|150477|162395|48289|54210|23231|3214|6775|3690|4703||4134|1459|369|363
15|16|5000|141|167454|172454|24476|52518|40968|6090|4618|3102|6072|15409|10325|2899|616|220
25|4|9839|48|116621|126460|19244|43245|15951|2977|1165|936|29726||2176|870|224|59
7|4|11199|91|159215|170414|30127|38810|21927|38070|4083|2089|11414|7061|3539|1658|224|122
30|8|6136|89|193905|200041|68984|55284|33397|4922|4260|3115|3723|9906|7398|2113|526|188
27|6|6484|76|196422|202906|10102|62210|75659|3659|3475|4392|2296|10885|17404|5111|1028|125
